Email Address,Member Name,Role,Team,Squad,Timestamp,MOUs,Cold Calls,Followups
member21@exchangemarathon.com,Member 21,Team Member,ir,IR Connect,2025-12-23T08:11:54+05:30,2,8,7
member28@exchangemarathon.com,Member 28,Support Associate,ir,IR Explore,2025-12-23T08:30:50+05:30,0,10,7
member11@exchangemarathon.com,Member 11,Project Coordinator,b2b,B2B Hunters,2025-12-23T09:24:25+05:30,1,1,2
member11@exchangemarathon.com,Member 11,Project Coordinator,b2b,B2B Hunters,2025-12-23T09:36:44+05:30,1,3,3
member55@exchangemarathon.com,Member 55,Support Associate,marcom,Marcom Sparks,2025-12-23T12:12:31+05:30,0,3,4
member43@exchangemarathon.com,Member 43,Support Associate,marcom,Marcom Stars,2025-12-23T18:30:33+05:30,1,9,8
member04@exchangemarathon.com,Member 04,Team Member,b2b,B2B Titans,2025-12-23T18:38:23+05:30,3,13,13
member37@exchangemarathon.com,Member 37,Activity Lead,matching,Match Ops,2025-12-23T19:58:22+05:30,0,5,7
member39@exchangemarathon.com,Member 39,Project Coordinator,matching,Match Ops,2025-12-23T20:30:23+05:30,1,4,2
member16@exchangemarathon.com,Member 16,Support Associate,ir,IR Connect,2025-12-23T20:59:31+05:30,1,10,10
member52@exchangemarathon.com,Member 52,Project Coordinator,marcom,Marcom Sparks,2025-12-24T10:30:38+05:30,0,8,6
member27@exchangemarathon.com,Member 27,Team Member,ir,IR Explore,2025-12-24T11:39:17+05:30,2,10,8
member10@exchangemarathon.com,Member 10,Project Coordinator,b2b,B2B Hunters,2025-12-24T12:10:38+05:30,0,5,10
member49@exchangemarathon.com,Member 49,Team Member,marcom,Marcom Stars,2025-12-24T12:14:13+05:30,2,5,10
member23@exchangemarathon.com,Member 23,Activity Lead,ir,IR Explore,2025-12-24T15:06:16+05:30,0,9,6
member11@exchangemarathon.com,Member 11,Project Coordinator,b2b,B2B Hunters,2025-12-24T16:34:06+05:30,0,0,4
member20@exchangemarathon.com,Member 20,Project Coordinator,ir,IR Connect,2025-12-24T16:44:27+05:30,1,20,10
member47@exchangemarathon.com,Member 47,Team Member,marcom,Marcom Stars,2025-12-24T16:52:03+05:30,1,6,10
